GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,GEOGDESC,TotalPop2016,Pop_Density,Dep_Ratio,Percent_NonIrish,HouseBuilt_Pre2001,HouseBuilt_Post2001,Percent_FlatApartBedsit,Percent_Rented,Percent_Vacant,Percent_Unemployed,Percent_Professional,Percent_OtherOccupation,Percent_ThirdLevelEdu,Percent_NoThirdLevelEdu,Average_PersonsPerHousehold,Percent_NoInternet,Percent_WithDisability,Percent_ChangePopulation
4c07d11e-04c2-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02117,268096,Mansion House A,268096001,268096001,A268096001,Small Area,783,3838.01,17.92,77.61,17,1,82.61,78.26,32.35,0.28,43.48,56.52,30.81,62.5,1.87,13.04,5.24,23.89
4c07d11e-2d69-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02078,268109,North Dock C,268109012,268109012,A268109012,Small Area,528,3035.97,18.92,56.87,18,95,100,82.91,18.62,2.22,33.33,66.67,38.38,49.75,2.32,1.71,9.85,-27.97
4c07d11e-2d5c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02075,268106,North City,268106016,268106016,A268106016,Small Area,1014,7388.83,23.96,65.51,46,5,46.53,36.11,20.97,5.34,15.28,84.72,25.26,66.19,2.11,52.08,7.1,105.26
4c07d11e-2d4b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02144,268140,Royal Exchange A,268140015,268140015,A268140015,Small Area,1001,11755.55,12.09,77.69,52,2,91.67,72.22,30.63,2.23,31.94,68.06,32.81,56.78,2.07,6.94,4.5,19.02
4c07d11e-2d4c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02075,268106,North City,268106001,268106001,A268106001,Small Area,184,2333.41,4.55,61.54,35,3,86.9,58.33,5.93,5.62,17.86,82.14,39.84,48.78,2.23,33.33,4.89,-24.28
4c07d11e-383f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02117,268096,Mansion House A,268096013,268096013,A268096013,Small Area,190,3303.48,39.71,19.68,59,30,59.8,70.59,17.6,7.3,16.67,83.33,24.66,66.44,1.88,2.94,22.63,2.7
4c07d11e-35a7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02075,268106,North City,268106010,268106010,A268106010,Small Area,751,14059.6,21.92,89.73,21,58,100,83.18,10.32,6.42,26.17,73.83,36.14,52.2,3.08,11.21,4.26,-2.85
4c07d11e-35a6-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02117,268096,Mansion House A,268096003,268096003,A268096003,Small Area,111,2384.58,12.12,56.6,45,8,93.65,88.89,12.5,1.89,33.33,66.67,75,18.75,1.75,1.59,10.81,-10.48
4c07d11e-2b5c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02144,268140,Royal Exchange A,268140007,268140007,A268140007,Small Area,186,4074.57,15.53,58.28,41,2,92.59,88.89,29.49,4.92,33.33,66.67,40.26,51.95,1.81,1.85,10.22,-31.62
4c07d11e-2d4e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02117,268096,Mansion House A,268096004,268096004,A268096004,Small Area,335,8279.88,16.72,58.18,59,21,95.4,82.76,26.36,6.44,28.74,71.26,56.42,23.74,1.9,4.6,8.96,-17.89
