REG_NO,SURVEY_ID,created_us,created_da,last_edite,last_edi_1,PUBLISH,DATE,NAME,NUMBER,STREET1,STREET2,TLAND_NAME,TOWN,COUNTY_COD,COUNTY,LOCAL_AUTH,RPS,RMP,VALUE_DESC,ORIGINALTY,INUSETYPE,NIAH_SITE_
50010143,SURV030,NIAH,20141008,NIAH,20141008,1,1885 - 1890,Mother Kellys,74,Talbot Street,Store Street,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,public house,public house,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010143
50010144,SURV030,NIAH,20141008,NIAH,20141008,1,1790 - 1810,MCC Customs Brokers,14-18,Store Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,office,office,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010144
50010145,SURV030,NIAH,20141008,NIAH,20141008,1,1885 - 1895,,,Store Street,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,bridge,bridge,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010145
50010146,SURV030,NIAH,20141008,NIAH,20141008,1,1880 - 1900,Robert Reade,19,Store Street,Frenchman's Lane,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,public house,public house,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010146
50010147,SURV030,NIAH,20141008,NIAH,20141008,1,1835 - 1840,Five Star Internet and Copy Centre,77A,Talbot Street,Moland Place,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,church/chapel,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010147
50010148,SURV030,NIAH,20141008,NIAH,20141008,1,1810 - 1830,Internet Café and Call Shop,70,Gardiner Street Lower,Talbot Street,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,shop/retail outlet,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010148
50010149,SURV030,NIAH,20141008,NIAH,20141008,1,1820 - 1830,Durban House,69,Gardiner Street Lower,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,guest house/b&b,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010149
50010150,SURV030,NIAH,20141008,NIAH,20141008,1,1820 - 1830,Adelphi House,68,Gardiner Street Lower,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,guest house/b&b,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010150
50010151,SURV030,NIAH,20141008,NIAH,20141008,1,1820 - 1830,Adelphi House,67,Gardiner Street Lower,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,guest house/b&b,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010151
50010152,SURV030,NIAH,20141008,NIAH,20141008,1,1820 - 1830,PW Medical Centre,66,Gardiner Street Lower,,,Dublin 1,DU,DUBLIN,Dublin City Council,1,1,Regional,house,surgery/clinic,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=DU&regno=50010152
