OBJECTID,ZONE_ORIG,ZONE_GZT,ZONE_DESC,ZONE_LINK,COLOUR
278,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
425,Zone Z14: Strategic Development and Regeneration Areas,R4.6,"To seek the social, economic and physical development and/or rejuvenation of an area with mixed use, of which residential and Z6 would be the predominant uses.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue4,Null,6"
480,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
508,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
516,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
521,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
522,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
523,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
524,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
525,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
545,Zone Z11: Waterways Protection,G3,"To protect and improve canal, coastal and river amenities.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Blue1,Yes,No"
595,Zone Z8: Georgian Conservation Areas,O2,"To protect the existing architectural and civic design character, to allow only for limited expansion consistent with the conservation objective.",http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Orange,Yes,No"
