ENTITY_ID,CLASSCODE,NAT_GRID_E,NAT_GRID_N,RMP_PROP,CO_ID,ITM_E,ITM_N,CLASSDESC,SMRS,TLAND_NAME
DU01343,CHUR,315580,233913,1,9,715506,733939,Church,DU018-020088-,Dublin South City
DU01349,WAMI,315520,233953,1,9,715446,733979,Water mill - unclassified,DU018-020094-,Dublin South City
DU01354,WAMI,315990,234106,1,9,715916,734132,Water mill - unclassified,DU018-020099-,Dublin South City
DU01327,CHUR,315870,233974,1,9,715796,734000,Church,DU018-020072-,Dublin South City
DU01331,CHUR,315630,233893,1,9,715556,733919,Church,DU018-020076-,Dublin South City
DU02632,WACO,315558,234171,0,9,715484,734197,Watercourse,DU018-020670-,Dublin South City
DU02868,QUAY,315667,234198,1,9,715593,734224,Quay,DU018-020594-,Dublin South City
DU02870,QUAY,315726,234247,1,9,715652,734273,Quay,DU018-020427-,Dublin South City
DU02878,HOLS,316172,234603,1,9,716098,734629,House - 16th/17th century,DU018-020500-,Dublin North City
DU02879,HOLS,315678,234470,1,9,715604,734496,House - 16th/17th century,DU018-020497-,Dublin North City
DU02885,BUIL,315631,234201,1,9,715557,734227,Building,DU018-020960-,Dublin South City
DU02955,BUIL,315699,234153,1,9,715625,734179,Building,DU018-020978-,Dublin South City
DU02998,COLL,316093,234072,1,9,716019,734098,College,DU018-020391-,Dublin South City
DU02999,FORD,315639,234253,1,9,715565,734279,Ford,DU018-020395-,"Dublin North City,Dublin South City"
DU03001,QUAY,315864,234372,1,9,715790,734398,Quay,DU018-020428-,Dublin North City
DU03005,WIND,316240,234410,1,9,716166,734436,Windmill,DU018-020464-,Dublin South City
DU03010,ECSI,316048,234210,1,9,715974,734236,Ecclesiastical site,DU018-020487-,Dublin South City
DU03012,MILL,316455,234852,1,9,716381,734878,Mill - unclassified,DU018-020501-,Dublin North City
DU03013,SEWA,316474,234626,1,9,716400,734652,Sea wall,DU018-020505-,Dublin North City
DU03027,WACO,315553,234165,1,9,715479,734191,Watercourse,DU018-020601-,Dublin South City
DU03030,WAMI,315553,234115,1,9,715479,734141,Water mill - unclassified,DU018-020604-,Dublin South City
DU03040,BUIL,315529,233982,1,9,715455,734008,Building,DU018-020619-,Dublin South City
DU03481,BUIL,316210,234133,1,9,716136,734159,Building,DU018-020508-,Dublin South City
DU03483,MEHO,315597,234133,1,9,715523,734159,Meeting-house,DU018-020510-,Dublin South City
DU03484,HOUS,315623,234103,1,9,715549,734129,House - indeterminate date,DU018-020511-,Dublin South City
DU03485,HOUS,315704,234087,1,9,715630,734113,House - indeterminate date,DU018-020512-,Dublin South City
DU03486,HOUS,315705,234093,1,9,715631,734119,House - indeterminate date,DU018-020513-,Dublin South City
DU03487,HOUS,315705,234099,0,9,715631,734125,House - indeterminate date,DU018-020514-,Dublin South City
DU03438,BRWO,316648,234056,1,9,716573,734082,Brickworks,DU018-020439-,Dublin South City
DU03423,GRAV,316077,234129,1,9,716003,734155,Graveyard,DU018-020411-,Dublin South City
DU03427,HOEC,316190,234071,1,9,716116,734097,House - 18th/19th century,DU018-020419-,Dublin South City
DU03523,HOUS,315510,234131,1,9,715436,734157,House - indeterminate date,DU018-020550-,Dublin South City
DU03524,WELL,315611,234163,1,9,715537,734189,Well,DU018-020551-,Dublin South City
DU03525,HOUS,315618,234150,0,9,715544,734176,House - indeterminate date,DU018-020552-,Dublin South City
DU03434,QUAY,315703,234225,1,9,715629,734251,Quay,DU018-020429-,Dublin South City
DU03439,PRIS,316104,234474,1,9,716030,734500,Prison,DU018-020461-,Dublin South City
DU03526,HOUS,315619,234144,1,9,715545,734170,House - indeterminate date,DU018-020553-,Dublin South City
DU03527,HOUS,315656,234140,0,9,715582,734166,House - indeterminate date,DU018-020554-,Dublin South City
DU03528,HOUS,315663,234140,1,9,715589,734166,House - indeterminate date,DU018-020555-,Dublin South City
DU03551,CHUR,316302,234321,1,9,716228,734347,Church,DU018-020648-,Dublin South City
DU03450,QUAY,316373,234422,1,9,716299,734448,Quay,DU018-020458-,Dublin South City
DU03785,QUAY,316108,234338,1,9,716034,734364,Quay,DU018-128----,Dublin North City
DU03786,BURI,316030,234470,1,9,715956,734496,Burial,DU018-129----,Dublin North City
DU01052,MOND,315904,234024,1,9,715830,734050,Mound,DU018-020132-,Dublin South City
DU01113,BUGR,315689,234069,1,9,715615,734095,Burial ground,DU018-020188-,Dublin South City
DU01272,BUIL,315681,234147,1,9,715607,734173,Building,DU018-020333-,Dublin South City
DU01298,RHAC,316092,234079,1,9,716018,734105,Religious house - Augustinian canons,DU018-020044-,Dublin South City
DU01300,RHAF,315679,234138,1,9,715605,734164,Religious house - Augustinian friars,DU018-020046-,Dublin South City
DU01301,RHAA,315871,233973,1,9,715797,733999,"Religious house - Augustinian, of Arrouaise nuns",DU018-020047-,Dublin South City
DU01314,HOWE,316091,233918,1,9,716017,733944,Ritual site - holy well,DU018-020060-,Dublin South City
DU01316,HOSP,316303,234276,1,9,716229,734302,Hospital,DU018-020061-,Dublin South City
DU01320,CHAP,316058,234169,1,9,715984,734195,Chapel,DU018-020995-,Dublin South City
DU03755,QUAY,315513,234280,1,9,715439,734306,Quay,DU018-113----,Dublin North City
DU03757,REVT,315596,234360,1,9,715522,734386,Riverine revetment,DU018-115----,Dublin North City
DU03101,HOWE,315609,234146,1,9,715535,734172,Ritual site - holy well,DU018-020344-,Dublin South City
DU03102,CHUR,316547,234120,1,9,716472,734146,Church,DU018-020347-,Dublin South City
DU02980,MEHO,315580,234089,1,9,715506,734115,Meeting-house,DU018-020345-,Dublin South City
DU03111,MILL,315962,234051,1,9,715888,734077,Mill - unclassified,DU018-020401-,Dublin South City
DU03476,BGGR,316158,234680,1,9,716084,734706,Bowling green,DU018-020498-,Dublin North City
DU03477,GLWO,316175,234633,1,9,716101,734659,Glass works,DU018-020499-,Dublin North City
DU03480,BRWO,315744,234902,1,9,715670,734928,Brickworks,DU018-020506-,Dublin North City
DU02984,HOLS,315616,234019,1,9,715542,734045,House - 16th/17th century,DU018-020368-,Dublin South City
DU02991,BRID,315995,234151,1,9,715921,734177,Bridge,DU018-020385-,Dublin South City
DU02993,BRID,315926,233976,1,9,715852,734002,Bridge,DU018-020386-,Dublin South City
DU02994,BRID,315864,233913,1,9,715790,733939,Bridge,DU018-020387-,Dublin South City
DU03114,HOSP,315922,234129,1,9,715848,734155,Hospital,DU018-020430-,Dublin South City
DU02901,LIME,315699,234146,1,9,715625,734172,Kiln - lime,DU018-020965-,Dublin South City
DU02521,BUGR,315669,234075,0,9,715595,734101,Burial ground,DU018-020671-,Dublin South City
DU02503,CHUR,315556,234015,1,9,715482,734041,Church,DU018-020071-,Dublin South City
DU03463,QUAY,316653,234382,1,9,716578,734408,Quay,DU018-020479-,Dublin South City
DU01048,BOST,316130,234224,1,9,716056,734250,Boundary stone,DU018-020129-,Dublin South City
DU01057,BUIL,315670,233930,1,9,715596,733956,Building,DU018-020137-,Dublin South City
DU01074,GLAS,316594,234525,1,9,716519,734551,Glasshouse,DU018-020152-,Dublin North City
DU01076,GLAS,315996,234484,1,9,715922,734510,Glasshouse,DU018-020154-,Dublin North City
DU01084,CHAP,316208,234297,1,9,716134,734323,Chapel,DU018-020161-,Dublin South City
DU01105,LIBR,316148,234023,1,9,716074,734049,Library,DU018-020180-,Dublin South City
DU01117,MILL,315531,233948,1,9,715457,733974,Mill - unclassified,DU018-020191-,Dublin South City
DU01169,INNI,315605,234084,1,9,715531,734110,Inn,DU018-020239-,Dublin South City
DU01263,GLWO,316723,234060,1,9,716648,734086,Glass works,DU018-020325-,Dublin South City
DU04146,PLOS,316162,234028,1,9,716088,734054,Ogham stone (present location),DU018-293----,Dublin South City
DU04147,PLOS,316162,234028,1,9,716088,734054,Ogham stone (present location),DU018-294----,Dublin South City
DU04151,BURI,315554,234019,1,9,715480,734045,Burial,DU018-296----,Dublin South City
DU04311,HOEC,315754,234744,1,9,715680,734770,House - 18th/19th century,DU018-390----,Dublin North City
DU04812,MONU,315969,234442,1,9,715895,734468,Monumental structure,DU018-423----,Dublin North City
DU04814,MONU,315953,234501,1,9,715879,734527,Monumental structure,DU018-424----,Dublin North City
DU04843,HOSE,315894,234297,1,9,715820,734323,House - 17th century,DU018-431----,Dublin South City
