PLAN_REF,FGDATE,PROPOSAL,APPDATE,LOCATION,STAGE,DECDATE,REGDATE,APPTYPE,DECISION
4233/09,16-02-2010,PROTECTED STRUCTURE,10-11-2009,North Block comprisi,Decision Notices Iss,08-01-2010,10-11-2009,Permission,GRANT PERMISSION
3807/11,05-04-2012,PROTECTED STRUCTURE:,23-12-2011,The East Block Compr,Decision Notices Iss,22-02-2012,23-12-2011,Permission,GRANT PERMISSION
3916/09,03-12-2009,PROTECTED STRUCTURE,17-09-2009,North Block  House 3,Decision Notices Iss,03-11-2009,17-09-2009,Permission,GRANT PERMISSION
3006/11,25-10-2011,PROTECTED STRUCTURE,20-07-2011,Fellows Square  Univ,Decision Notices Iss,12-09-2011,20-07-2011,Permission,GRANT PERMISSION
3915/09,15-12-2009,PROTECTED STRUCTURE,17-09-2009,Trinity College  Col,Decision Notices Iss,03-11-2009,17-09-2009,Permission,GRANT PERMISSION
4064/08,13-11-2008,PROTECTED STRUCTURE,14-08-2008,Fellows Square  Trin,Decision Notices Iss,07-10-2008,14-08-2008,Permission,GRANT PERMISSION
4260/09,16-02-2010,PROTECTED STRUCTURE,13-11-2009,Front Square (also k,Decision Notices Iss,08-01-2010,13-11-2009,Permission,GRANT PERMISSION
5947/04,20-07-2005,PROTECTED STRUCTURE,20-12-2004,Houses 2  3  7  8 &,Appeal Decided,22-02-2005,20-12-2004,Permission,SPLIT DECISION(PERMI
3913/07,08-11-2007,PROTECTED STRUCTURE,27-06-2007,Front Square  Univer,Decision Notices Iss,25-09-2007,07-09-2007,Permission,GRANT PERMISSION
4091/05,16-11-2005,(a) the provision of,03-08-2005,Houses 2  3  7  8 &,Decision Appealed,11-10-2005,03-08-2005,Permission,GRANT PERMISSION
2290/06,19-06-2006,Permission for works,31-03-2006,Outhouse of the Prov,Decision Appealed,16-05-2006,31-03-2006,Permission,GRANT PERMISSION
6505/07,18-03-2008,Construction of a si,11-12-2007,The Pavilion Bar  Un,Decision Notices Iss,01-02-2008,11-12-2007,Permission,GRANT PERMISSION
4355/05,14-11-2005,telescope observator,18-08-2005,Fitzgerald Building,Decision Appealed,07-10-2005,18-08-2005,Permission,GRANT PERMISSION
3661/07,NULL,PRO STRUCT: (a) the,13-06-2007,Front Square  Univer,Decision Notices Iss,22-06-2007,13-06-2007,Permission,APPLICATION DECLARED
4104/05,16-11-2005,PROTECTED STRUCTURE:,03-08-2005,Houses 2  3  7  8 &,Decision Appealed,11-10-2005,03-08-2005,Permission,GRANT PERMISSION
4988/06,06-12-2006,Protected Structure-,08-09-2006,The ESB substation a,Decision Notices Iss,01-11-2006,08-09-2006,Permission,GRANT PERMISSION
4111/05,25-01-2006,The  development con,04-08-2005,The INS Building  Tr,Decision Notices Iss,13-12-2005,21-11-2005,Permission,GRANT PERMISSION
2148/17,03-05-2017,PROTECTED STRUCTURE:,30-01-2017,Examination Hall and,Decision Notices Iss,22-03-2017,30-01-2017,Permission,GRANT PERMISSION
2998/15,18-01-2016,PROTECTED STRUCTURE:,15-06-2015,TCD Arts Building  N,Decision Notices Iss,24-11-2015,29-10-2015,Permission,GRANT PERMISSION
3264/15,19-10-2015,PROTECTED STRUCTURE:,20-07-2015,University Of Dublin,Decision Notices Iss,08-09-2015,20-07-2015,Permission,GRANT PERMISSION
2116/17,26-04-2017,PROTECTED STRUCTURE:,26-01-2017,University of Dublin,Decision Notices Iss,16-03-2017,26-01-2017,Permission,GRANT PERMISSION
3159/15,06-01-2016,PROTECTED STRUCTURE:,06-07-2015,University of Dublin,Decision Notices Iss,12-11-2015,16-10-2015,Permission,SPLIT DECISION(PERMI
