OBJECTID,AiroID,Address,Postal_Cod,County,Date_of_Sa,Price,Not_Full_M,VAT_Exclus,PropertyTy,PropertyDe,ING_East,ING_North,Match_leve,Year,Month,Qtr,Quarter
64,61779,"64 MARLBOROUGH COURT, MARLBOROUGH ST, DUBLIN 1",Dublin 1,Dublin,20160107,232000,No,No,Second-Hand Dwelling house /Apartment,,316023.42,234887.86,XY,2016,1,Q1,Q1_2016
705,62628,"APT 511, TALBOT HALL, TALBOT ST",,Dublin,20160203,131000,No,No,Second-Hand Dwelling house /Apartment,,316198.38,234678.38,XY,2016,2,Q1,Q1_2016
845,62832,"151 IVY EXCHANGE, PARNELL ST, DUBLIN 1",Dublin 1,Dublin,20160210,205000,No,No,Second-Hand Dwelling house /Apartment,,315639,234889.88,XY,2016,2,Q1,Q1_2016
1345,63461,"54 TALBOT ST, DUBLIN 1, DUBLIN",Dublin 1,Dublin,20160220,287500,No,No,Second-Hand Dwelling house /Apartment,,316539.69,234843.55,XY,2016,2,Q1,Q1_2016
1391,63519,"225 BACHELORS WALK, DUBLIN 1, DUBLIN",Dublin 1,Dublin,20160223,181305,No,No,Second-Hand Dwelling house /Apartment,,315739.33,234380.7,XY,2016,2,Q1,Q1_2016
1460,63611,"247 Bachelor's Walk, Dublin 1",Dublin 1,Dublin,20160225,175000,No,No,Second-Hand Dwelling house /Apartment,,315739.33,234380.7,XY,2016,2,Q1,Q1_2016
1479,63635,"55 CUSTOM HALL, GARDINER ST, DUBLIN 1",Dublin 1,Dublin,20160225,167500,No,No,Second-Hand Dwelling house /Apartment,,316210.86,234906.18,XY,2016,2,Q1,Q1_2016
1589,63826,"178 PARNELL STREET, CITY OF DUBLIN",Dublin 1,Dublin,20160301,327000,No,No,Second-Hand Dwelling house /Apartment,,315627.97,234837.05,XY,2016,3,Q1,Q1_2016
1914,64287,"25 TRINITY SQ, TOWNSEND ST, DUBLIN 2",Dublin 2,Dublin,20160311,305000,No,No,Second-Hand Dwelling house /Apartment,,316737.48,234212.79,XY,2016,3,Q1,Q1_2016
2080,64515,"308 CUSTOM HOUSE HARBOUR, IFSC, DUBLIN 1",Dublin 1,Dublin,20160318,295000,No,No,Second-Hand Dwelling house /Apartment,,316797.69,234775.73,XY,2016,3,Q1,Q1_2016
