object_id,zone_orig,zone_gzt,zone_desc
1,Zone Z3: Neighbourhood centres,M3,test
2,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
3,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
4,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
5,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
6,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
7,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
8,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
9,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
10,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
11,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
12,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
13,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
14,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
15,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
16,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
17,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
18,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
19,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
20,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
21,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
22,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
23,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
24,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
25,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
26,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
27,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
28,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
29,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
30,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
31,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
32,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
33,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
34,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
35,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
36,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
37,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
38,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
39,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
40,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
41,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
42,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
43,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
44,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
45,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
46,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
47,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
48,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
49,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
50,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
51,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
52,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
53,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
54,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
55,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
56,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
57,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
58,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
59,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
60,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
61,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
62,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
63,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
64,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
65,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
66,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
67,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
68,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
69,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
70,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
71,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
72,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
73,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
74,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
75,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
76,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
77,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
78,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
79,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
80,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
81,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
82,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
83,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
84,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
85,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
86,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
87,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
88,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
89,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
90,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
91,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
92,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
93,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
94,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
95,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
96,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
97,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
98,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
99,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
100,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
101,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
102,Zone Z6: Employment/Enterprise Zones,C2.1,To provide for the creation and protection of enterprise and facilitate opportunities for employment creation.
103,Zone Z3: Neighbourhood centres,M3,To provide for and improve neighbourhood facilities.
