object_id,zone_orig,zone_gzt,zone_desc,zone_link,colour
1,Zone Z3: Neighbourhood centres,M3,TEST Description 1,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
2,Zone Z3: Neighbourhood centres,M3,TEST Description 2,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
3,Zone Z3: Neighbourhood centres,M3,TEST Description 3,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
4,Zone Z3: Neighbourhood centres,M3,TEST Description 4,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
5,Zone Z3: Neighbourhood centres,M3,TEST Description 5,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
6,Zone Z3: Neighbourhood centres,M3,TEST Description 6,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
7,Zone Z3: Neighbourhood centres,M3,TEST Description 7,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
8,Zone Z3: Neighbourhood centres,M3,TEST Description 8,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
9,Zone Z3: Neighbourhood centres,M3,TEST Description 9,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
10,Zone Z3: Neighbourhood centres,M3,TEST Description 10,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
11,Zone Z3: Neighbourhood centres,M3,TEST Description 11,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
12,Zone Z3: Neighbourhood centres,M3,TEST Description 12,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
13,Zone Z3: Neighbourhood centres,M3,TEST Description 13,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
14,Zone Z3: Neighbourhood centres,M3,TEST Description 14,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
15,Zone Z3: Neighbourhood centres,M3,TEST Description 15,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
16,Zone Z3: Neighbourhood centres,M3,TEST Description 16,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
17,Zone Z3: Neighbourhood centres,M3,TEST Description 17,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
18,Zone Z3: Neighbourhood centres,M3,TEST Description 18,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
19,Zone Z3: Neighbourhood centres,M3,TEST Description 19,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
20,Zone Z3: Neighbourhood centres,M3,TEST Description 20,http://www.dublincity.ie/Planning/DublinCityDevelopmentPlan/Pages/CityDevelopmentPlan.aspx,"Pink1,Yes,No"
